"","December 31, 2023 December 31, 2022",,"December 31, 2023 December 31, 2022"
IFRS Operating expenses,"1,055 1,032",,"3,843 3,585"
Foreign exchange effect on 2023 operating expenses using 2022 rates,(41),,(102)
Operating expenses excluding foreign exchange effect,"1,096",,"3,945"
IFRS Operating expenses year over year change %,2 %,,7 %
Operating expenses excluding foreign exchange effect year-over-year change %,6 %,,10 %
"",Three months ended,,Twelve months ended
"","December 31, 2023 December 31, 2022",,"December 31, 2023 December 31, 2022"
IFRS Research and development expenses,468 415,,"1,725 1,387"
Foreign exchange effect on 2023 expenses using 2022 rates,(17),,(44)
Research and development expenses excluding foreign exchange effect,485,,"1,769"
IFRS Research and development expenses year over year change %,13 %,,24 %
Research and development expenses excluding foreign exchange effect year-over-year change %,17 %,,28 %
